iter	Passed	Remaining
424	2727	3690
425	2734	3684
426	2737	3673
427	2739	3661
428	2741	3649
429	2750	3646
430	2789	3683
431	2792	3671
432	2796	3661
433	2799	3650
434	2808	3647
435	2811	3637
436	2814	3625
437	2819	3618
438	2823	3608
439	2826	3597
440	2839	3599
441	2844	3590
442	2847	3579
443	2852	3571
444	2855	3561
445	2860	3553
446	2863	3542
447	2868	3534
448	2871	3523
449	2873	3511
450	2891	3519
451	2893	3508
452	2907	3511
453	2910	3499
454	2947	3530
455	2949	3519
456	2952	3508
457	2954	3496
458	2957	3485
459	2963	3478
460	2965	3467
461	2975	3465
462	2986	3463
463	2995	3460
464	3000	3451
465	3006	3444
466	3017	3443
467	3019	3432
468	3022	3422
469	3027	3414
470	3029	3403
471	3040	3400
472	3045	3393
473	3048	3382
474	3051	3372
475	3053	3361
476	3061	3357
477	3065	3347
478	3067	3336
479	3070	3326
480	3077	3320
481	3081	3311
482	3084	3301
483	3086	3291
484	3090	3281
485	3093	3271
486	3097	3263
487	3102	3254
488	3104	3244
489	3107	3234
490	3109	3223
491	3112	3213
492	3114	3203
493	3119	3195
494	3121	3184
495	3123	3174
496	3126	3164
497	3129	3154
498	3135	3147
499	3137	3137
500	3138	3126
501	3141	3116
502	3143	3105
503	3145	3095
504	3149	3086
505	3151	3076
506	3153	3066
507	3155	3056
508	3157	3046
509	3160	3036
510	3164	3028
511	3167	3018
512	3169	3009
513	3172	2999
514	3175	2990
515	3181	2984
516	3184	2975
517	3187	2965
518	3189	2955
519	3191	2946
520	3196	2938
521	3199	2929
522	3202	2920
523	3204	2911
524	3208	2902
525	3247	2926
526	3250	2917
527	3253	2908
528	3255	2898
529	3259	2890
530	3262	2881
531	3265	2872
532	3268	2863
533	3270	2853
534	3277	2848
535	3280	2839
536	3283	2831
537	3285	2821
538	3293	2816
539	3295	2807
540	3298	2798
541	3300	2788
542	3302	2779
543	3307	2772
544	3311	2764
545	3315	2756
546	3317	2747
547	3324	2741
548	3326	2732
549	3331	2725
550	3333	2716
551	3337	2708
552	3340	2699
553	3342	2691
554	3345	2682
555	3347	2673
556	3352	2666
557	3356	2658
558	3358	2649
559	3360	2640
560	3362	2631
561	3363	2621
562	3368	2614
563	3370	2605
564	3372	2596
565	3375	2588
566	3377	2579
567	3379	2570
568	3385	2564
569	3387	2555
570	3389	2546
571	3390	2537
572	3392	2528
573	3394	2519
574	3399	2512
575	3404	2506
576	3406	2497
577	3408	2488
578	3410	2479
579	3413	2471
580	3415	2463
581	3418	2455
582	3420	2446
583	3423	2438
584	3425	2430
585	3434	2426
586	3436	2417
587	3438	2409
588	3440	2400
589	3443	2392
590	3446	2385
591	3448	2376
592	3450	2368
593	3453	2360
594	3456	2352
595	3462	2346
596	3464	2338
597	3466	2330
598	3468	2321
599	3470	2313
600	3474	2306
601	3476	2298
602	3478	2289
603	3479	2281
604	3481	2273
605	3483	2264
606	3485	2256
607	3486	2248
608	3490	2241
609	3493	2233
610	3496	2225
611	3498	2217
612	3499	2209
613	3501	2201
614	3508	2196
615	3510	2188
616	3513	2180
617	3515	2172
618	3517	2165
619	3522	2158
620	3524	2151
621	3526	2143
622	3528	2135
623	3530	2127
624	3532	2119
625	3537	2113
626	3539	2105
627	3540	2097
628	3542	2089
629	3544	2081
630	3546	2074
631	3549	2066
632	3551	2058
633	3553	2051
634	3556	2044
635	3557	2036
636	3559	2028
637	3561	2020
638	3564	2013
639	3566	2006
640	3569	1999
641	3571	1991
642	3573	1984
643	3575	1976
644	3577	1969
645	3582	1963
646	3584	1955
647	3586	1948
648	3588	1940
649	3589	1933
650	3591	1925
651	3593	1918
652	3596	1911
653	3599	1904
654	3601	1896
655	3602	1889
656	3606	1882
657	3608	1875
658	3611	1868
659	3615	1862
660	3617	1855
661	3619	1847
662	3622	1841
663	3626	1834
664	3628	1827
665	3630	1820
666	3632	1813
667	3634	1806
668	3635	1798
669	3637	1791
670	3641	1785
671	3643	1778
672	3645	1771
673	3646	1763
674	3648	1756
675	3650	1749
676	3652	1742
677	3654	1735
678	3657	1729
679	3659	1721
680	3660	1714
681	3662	1707
682	3664	1700
683	3665	1693
684	3667	1686
685	3670	1680
686	3672	1673
687	3674	1666
688	3676	1659
689	3678	1652
690	3681	1646
691	3682	1639
692	3686	1633
693	3688	1626
694	3690	1619
695	3692	1612
696	3694	1605
697	3695	1599
698	3697	1592
699	3698	1585
700	3701	1578
701	3704	1572
702	3706	1565
703	3707	1558
704	3709	1552
705	3710	1545
706	3714	1539
707	3716	1532
708	3719	1526
709	3721	1520
710	3724	1513
711	3731	1509
712	3734	1503
713	3736	1496
714	3738	1490
715	3740	1483
716	3746	1478
717	3748	1472
718	3750	1465
719	3753	1459
720	3754	1452
721	3756	1446
722	3760	1440
723	3764	1434
724	3767	1429
725	3769	1422
726	3771	1416
727	3776	1410
728	3780	1405
729	3782	1398
730	3784	1392
731	3786	1386
732	3789	1380
733	3794	1375
734	3796	1368
735	3798	1362
736	3800	1356
737	3802	1349
738	3806	1344
739	3810	1338
740	3813	1332
741	3815	1326
742	3817	1320
743	3823	1315
744	3825	1309
745	3830	1304
746	3832	1297
747	3834	1291
748	3839	1286
749	3842	1280
750	3845	1275
751	3848	1269
752	3852	1263
753	3856	1258
754	3860	1252
755	3863	1246
756	3867	1241
757	3870	1235
758	3872	1229
759	3875	1223
760	3878	1218
761	3882	1212
762	3885	1206
763	3887	1200
764	3889	1194
765	3891	1188
766	3893	1182
767	3895	1176
768	3898	1171
769	3901	1165
770	3904	1159
771	3906	1153
772	3911	1148
773	3914	1142
774	3916	1137
775	3918	1131
776	3922	1125
777	3932	1122
778	3935	1116
779	3941	1111
780	3945	1106
781	3947	1100
782	3949	1094
783	3951	1088
784	3953	1082
785	3955	1076
786	3959	1071
787	3961	1065
788	3962	1059
789	3964	1053
790	3966	1048
791	3968	1042
792	3970	1036
793	3974	1031
794	3976	1025
795	3978	1019
796	3980	1013
797	3981	1007
798	3983	1002
799	3985	996
800	3989	991
801	3991	985
802	3993	979
803	3995	973
804	3997	968
805	3998	962
806	4000	956
807	4004	951
808	4006	945
809	4008	940
810	4010	934
811	4014	929
812	4016	923
813	4019	918
814	4021	912
815	4023	907
816	4025	901
817	4026	895
818	4028	890
819	4030	884
820	4035	879
821	4037	874
822	4039	868
823	4041	863
824	4043	857
825	4045	852
826	4049	847
827	4051	841
828	4053	836
829	4055	830
830	4057	825
831	4062	820
832	4064	814
833	4067	809
834	4069	804
835	4071	798
836	4073	793
837	4077	788
838	4079	782
839	4081	777
840	4083	772
841	4086	766
842	4087	761
843	4090	756
844	4092	750
845	4095	745
846	4098	740
847	4099	734
848	4103	729
849	4108	724
850	4110	719
851	4112	714
852	4113	708
853	4115	703
854	4118	698
855	4123	693
856	4125	688
857	4127	683
858	4129	677
859	4130	672
860	4133	667
861	4135	662
862	4138	656
863	4140	651
864	4141	646
865	4143	641
866	4145	635
867	4147	630
868	4151	625
869	4154	620
870	4155	615
871	4157	610
872	4159	605
873	4162	600
874	4164	594
875	4168	590
876	4170	584
877	4172	579
878	4173	574
879	4176	569
880	4179	564
881	4183	559
882	4185	554
883	4190	549
884	4193	544
885	4199	540
886	4204	535
887	4210	531
888	4213	526
889	4215	521
890	4233	517
891	4236	512
892	4245	508
893	4249	503
894	4253	498
895	4269	495
896	4313	495
897	4315	490
898	4319	485
899	4326	480
900	4329	475
901	4332	470
902	4342	466
903	4345	461
904	4350	456
905	4358	452
906	4360	447
907	4362	442
908	4365	436
909	4367	431
910	4382	428
911	4391	423
912	4394	418
913	4397	413
914	4404	409
915	4406	404
916	4410	399
917	4415	394
918	4424	389
919	4427	385
920	4430	380
921	4435	375
922	4437	370
923	4440	365
924	4443	360
925	4445	355
926	4450	350
927	4452	345
928	4454	340
929	4457	335
930	4459	330
931	4461	325
932	4466	320
933	4469	315
934	4471	310
935	4473	305
936	4475	300
937	4477	295
938	4483	291
939	4486	286
940	4488	281
941	4490	276
942	4492	271
943	4497	266
944	4502	262
945	4505	257
946	4508	252
947	4512	247
948	4514	242
949	4516	237
950	4518	232
951	4521	227
952	4528	223
953	4531	218
954	4534	213
955	4536	208
956	4537	203
957	4541	199
958	4543	194
959	4545	189
960	4547	184
961	4550	179
962	4553	174
963	4557	170
964	4561	165
965	4563	160
966	4566	155
967	4568	151
968	4573	146
969	4575	141
970	4580	136
971	4583	132
972	4585	127
973	4590	122
974	4593	117
975	4595	113
976	4598	108
977	4600	103
978	4605	98
979	4608	94
980	4610	89
981	4613	84
982	4615	79
983	4621	75
984	4623	70
985	4626	65
986	4629	60
987	4631	56
988	4636	51
989	4639	46
990	4642	42
991	4645	37
992	4652	32
993	4655	28
994	4658	23
995	4661	18
996	4672	14
997	4674	9
998	4678	4
999	4682	0
